icao,iata,country,name,airport_type,alt,lon,lat
VABB,BOM,IN,Chhatrapati Shivaji International Airport,large_airport,39,72.8678970337,19.0886993408
KAFW,AFW,US,Fort Worth Alliance Airport,large_airport,722,-97.3188018799,32.9875984192
OIIE,IKA,IR,Imam Khomeini International Airport,large_airport,3305,51.1521987915039,35.4160995483398
RJCC,CTS,JP,New Chitose Airport,large_airport,82,141.692001342773,42.7751998901367
YPPH,PER,AU,Perth International Airport,large_airport,67,115.967002868652,-31.940299987793
ZUCK,CKG,CN,Chongqing Jiangbei International Airport,large_airport,1365,106.641998291016,29.7192001342773
14VA,,US,Krens Farm Airport,small_airport,790,-77.746696472168,39.2290000915527
UKFF,SIP,UA,Simferopol International Airport,large_airport,639,33.9751014709473,45.0522003173828
OMAL,AAN,AE,Al Ain International Airport,medium_airport,869,55.6091995239258,24.2616996765137
15NY,,US,Peninsula Hospital Center Heliport,heliport,,-73.7800979614258,40.5918006896973
57CA,,US,Merle Norman Cosmetics Bldg 3 Heliport,closed,126,-118.380997,33.9533
BH0001,,BH,Bahrain International Circuit Heliport,heliport,,50.511709,26.029738
CYYC,YYC,CA,Calgary International Airport,large_airport,3557,-114.019996643,51.113899231
CYUL,YUL,CA,Montreal / Pierre Elliott Trudeau International Airport,large_airport,118,-73.7407989502,45.4706001282
FR0173,,FR,Centre Hospitalier Laënnec Heliport,heliport,238,2.45805597305298,49.2472229003906
GB0527,,GB,Metropolitan Police Air Support Unit,small_airport,,0.0171705,51.6538182
RU0271,,RU,City Children's Clinical Hospital No.9 Helipad,heliport,,37.5390440226,55.7554840716
GB0204,,GB,Plaistows Airfield,small_airport,395,-0.3801541,51.7290068
GB0610,,GB,RAF Stradishall Air Base,closed,,0.520487,52.130551
DAAD,BUJ,DZ,Bou Saada Airport,medium_airport,1506,4.20638990402222,35.3325004577637
DAOE,,DZ,Bou Sfer Airport,small_airport,187,-0.805388987064362,35.7354011535645
LTFM,IST,TR,Istanbul Airport,,325,28.751944,41.275278
QA0003,,QA,Banana Island Helipad,heliport,,51.639031,25.296837
OMAD,AZI,AE,Bateen Airport,medium_airport,16,54.4580993652344,24.4283008575439
OMAR,,AE,Arzanah Airport,small_airport,15,52.5598983764648,24.7805004119873
XA29,,US,Heart Hospital of San Antonio Heliport,heliport,850,-98.5478973388672,29.4939002990723
KTEB,TEB,US,Teterboro Airport,medium_airport,9,-74.060798645,40.8501014709
LFFE,,FR,Enghien Moisselles Airfield,small_airport,335,2.35306,49.046398
EDXH,HGL,DE,Helgoland-Düne Airport,small_airport,8,7.91583299637,54.1852798462
GB0140,,GB,RAF Brooklands,closed,54,-0.470326,51.348608
MA96,,US,Rent-A-Tool Heliport,heliport,,-70.9844970703125,42.4278984069824
OMAF,,AE,Futaysi,small_airport,,54.3161125183105,24.3788890838623
LSGP,,CH,La Côte Airport,small_airport,1352,6.25805997848511,46.4063987731934
OTBH,XJD,QA,Al Udeid Air Base,medium_airport,130,51.3149986267,25.1173000336
RJTK,,JP,Kisarazu Airport,medium_airport,10,139.910003662109,35.3983001708984
EGLW,,GB,London Heliport,heliport,18,-0.179444000125,51.4697227478
OMDM,NHD,AE,Al Minhad Air Base,medium_airport,165,55.3661994934,25.0268001556
GB0215,,GB,Jubilee Farm Airstrip,small_airport,,0.0643512,52.6308036
GB0216,,GB,Ashley's Field Airstrip,small_airport,,0.2705275,53.2190693
DAAB,QLD,DZ,Blida Airport,medium_airport,535,2.81416988372803,36.5036010742188
DAAK,,DZ,Boufarik Airport,medium_airport,335,2.87611,36.545799
GB0229,,GB,Kirkbymoorside,small_airport,,-0.9412738,54.2510003
LSPO,,CH,Olten Airport,small_airport,,7.88944005966187,47.3443984985352
OTBD,DIA,QA,Doha International Airport,medium_airport,35,51.565102,25.261101
MD34,,US,Ibm Heliport,heliport,424,-77.2166976928711,39.1534004211426
OTHH,DOH,QA,Hamad International Airport,,13,51.608056,25.273056
3MD1,,US,Southern Md Hospital Center Heliport,heliport,270,-76.87719727,38.74810028
UUWE,,RU,Yermolino Air Base,medium_airport,640,36.608334,55.228333
WSAC,,SG,Changi Air Base (East),medium_airport,22,104.009002686,1.3441400528
GB0261,,GB,Top Farm Airfield,small_airport,,-0.117631,52.1225417
EGTF,,GB,Fairoaks Airport,small_airport,80,-0.558888971806,51.3480987549
EGLM,,GB,White Waltham Airfield,small_airport,131,-0.774443984032,51.5008010864
OITU,IMQ,IR,Maku National Airport,small_airport,,44.43,39.330002
KSWF,SWF,US,Stewart International Airport,medium_airport,491,-74.1047973632812,41.5041007995605
UACK,KOV,KZ,Kokshetau Airport,medium_airport,900,69.594597,53.329102
GB0311,,GB,Rush Green Airstrip,small_airport,,-0.248437,51.9042754
3VA5,,US,Goose Hunt Farm Airport,small_airport,340,-77.625,39.028889
40TS,,US,Square K Airport,closed,590,-97.132201,31.7724
7CL6,,US,Playa Vista 2 Heliport,heliport,13,-118.407997131348,33.9796981811523
8II8,,US,Allison Plant 3 Heliport,heliport,780,-86.2457962036133,39.7792015075684
GB0390,,GB,Coleman Green Airstrip,small_airport,,-0.274944,51.7918157
9NY9,,US,Poughkeepsie Main Plant Heliport,heliport,100,-73.935649395,41.6572827552
AE0010,,AE,Schumacher Heliport,heliport,,55.138836,25.221807
AE0019,,AE,Dubai Festival City Helipad,heliport,,55.349227,25.220765
AE0021,,AE,Yas Marina Circuit Heliport,heliport,,54.603443,24.469136
AE0022,,AE,Al Mushrif Palace Helipad,heliport,,54.377368,24.452066
AE0023,,AE,Al Forsan Helipad,heliport,,54.543507,24.406998
GB0408,,GB,Southdown Gliding Club,small_airport,,-0.4747526,50.9240525
GB0418,,GB,Wishangar Farm private Airstrip,small_airport,,-0.808142,51.1504806
GB0426,,GB,Felthorpe Airfield,small_airport,150,1.19449,52.7059
AYM,AYM,AE,Yas Island Seaplane Base,seaplane_base,0,54.6103,24.467
DAAX,,DZ,Chéraga Airport,small_airport,396,2.9284,36.7782
DAOO,ORN,DZ,Es Senia Airport,medium_airport,295,-0.621182978153,35.6239013672
CJN7,,CA,Little Churchill River / Dunlop's Fly-In Lodge Airport,small_airport,700,-96.2474975586,56.5800018311
CL71,,US,Hughes/Corporate Heliport,heliport,75,-118.424003601074,33.9660987854004
GB0453,,GB,Willingale Airstrip,small_airport,250,0.286556,51.7292
GB0461,,GB,Gransden Lodge Glider Field,small_airport,,-0.112033,52.181597
