icao,reg,country,owners,type,notes
06A00F,A7AAG,QA,Government of Qatar,A320-232,
8961B4,A6COM,AE,Dubai Air Wing,Boeing 747 433 SCD,
896272,A6GGP,AE,Dubai Air Wing,Boeing 747 412F,
0D819B,YV2865,VE,Petroleos De Venezuela SA,Beech 1900 D,Source: https://opensky-network.org/aircraft-profile?icao24=0d819b
0A404D,7TVPF,DZ,Government of Algeria,Avions de Transport Regional ATR 72 600,
0A404C,7TVPE,DZ,Government of Algeria,Avions de Transport Regional ATR 72 600,
08CBAB,9QCGC,CD,Government of Democratic Rep of Congo,Gulfstream Aerospace GIV,
06A014,A7HHJ,QA,Qatar Amiri Flight,Airbus ACJ319 133X,
7101E2,HZMF1,SA,Saudi Ministry of Finance,Boeing 737NG 7FG W BBJ,
70C0B3,A4OAD,OM,Oman Royal Flight,Gulfstream Aerospace G550,
706053,9KGGB,KW,Government of Kuwait,Gulfstream Aerospace G650,
894081,A9CISA,BH,Bahrain Defence Force,Boeing 737NG 86J W,
89605A,A6HRS,AE,Dubai Air Wing,Boeing 737NG 7E0 BBJ,
0D80AE,YV1004,VE,Conviasa,Airbus A340 211,"Registered to Conviasa, an airline, but recently it appears to be doing trips for the Venezuelan government."
06A038,A7HHM,QA,Qatar Amiri Flight,Airbus A330 202,
157713,RA96019,RU,Russia State Transport Company,Ilyushin IL-96 300PU,
706055,9KGGD,KW,Government of Kuwait,Gulfstream Aerospace G650,
0A4005,7TVPR,DZ,Government of Algeria,Gulfstream Aerospace GIV SP,
600806,4KAI06,AZ,SW Business Aviation,Gulfstream Aerospace G550,
0A400B,7TVPG,DZ,Government of Algeria,Gulfstream Aerospace GV,
70C0B4,A4OAE,OM,Oman Royal Flight,Gulfstream Aerospace G550,
70C0B7,A4OHMS,OM,Oman Royal Flight,Boeing 747 8H0 BBJ,
896302,A6CJE,AE,Emirates Airline,Airbus ACJ319 115,
06A01C,A7HJJ,QA,Qatar Amiri Flight,Airbus A330 202,
157710,RA96016,RU,Russia State Transport Company,Ilyushin IL-96 300,
0A400A,7TVPM,DZ,Government of Algeria,Gulfstream Aerospace GIV SP,
